央视频道,#genre#
CCTV12,http://111.178.111.228:9999/rtp/239.69.1.106:10274
CCTV12,http://171.41.195.122:8888/rtp/239.69.1.106:10274
CCTV12,http://171.80.219.6:8888/rtp/239.69.1.106:10274
CCTV12,http://171.80.233.21:8888/rtp/239.69.1.106:10274
CCTV12,http://119.101.65.113:8888/rtp/239.69.1.106:10274
CCTV12,http://27.16.160.149:3520/rtp/239.69.1.106:10274
CCTV12,http://27.17.193.37:9100/rtp/239.69.1.106:10274
CCTV12,http://59.174.227.133:8880/rtp/239.69.1.106:10274
CCTV12,http://27.20.65.193:5555/rtp/239.69.1.106:10274
CCTV12,http://27.30.72.52:8888/rtp/239.69.1.106:10274
CCTV12,http://27.24.225.35:8888/rtp/239.69.1.106:10274
CCTV12,http://59.174.98.235:8880/rtp/239.69.1.106:10274
CCTV12,http://171.80.43.185:8880/rtp/239.69.1.106:10274
CCTV13,http://111.170.82.136:9999/rtp/239.254.96.161:9040
CCTV13,http://111.172.5.4:8888/rtp/239.254.96.161:9040
CCTV13,http://111.178.111.228:9999/rtp/239.254.96.161:9040
CCTV13,http://119.98.99.124:5555/rtp/239.254.96.161:9040
CCTV13,http://171.41.195.122:8888/rtp/239.254.96.161:9040
CCTV13,http://171.80.219.6:8888/rtp/239.254.96.161:9040
CCTV13,http://119.101.65.113:8888/rtp/239.254.96.161:9040
CCTV13,http://171.80.233.21:8888/rtp/239.254.96.161:9040
CCTV13,http://27.17.193.37:9100/rtp/239.254.96.161:9040
CCTV13,http://27.16.160.149:3520/rtp/239.254.96.161:9040
CCTV13,http://27.20.65.193:5555/rtp/239.254.96.161:9040
CCTV13,http://171.80.43.185:8880/rtp/239.254.96.161:9040
CCTV13,http://59.174.227.133:8880/rtp/239.254.96.161:9040
CCTV13,http://59.174.98.235:8880/rtp/239.254.96.161:9040
CCTV13,http://27.30.72.52:8888/rtp/239.254.96.161:9040
CCTV13,http://27.24.225.35:8888/rtp/239.254.96.161:9040
CCTV14,http://111.172.5.4:8888/rtp/239.69.1.107:10280
CCTV14,http://111.170.82.136:9999/rtp/239.69.1.107:10280
CCTV14,http://111.178.111.228:9999/rtp/239.69.1.107:10280
CCTV14,http://119.101.65.113:8888/rtp/239.69.1.107:10280
CCTV14,http://119.98.99.124:5555/rtp/239.69.1.107:10280
CCTV14,http://171.41.195.122:8888/rtp/239.69.1.107:10280
CCTV14,http://171.80.219.6:8888/rtp/239.69.1.107:10280
CCTV14,http://171.80.233.21:8888/rtp/239.69.1.107:10280
CCTV14,http://59.174.227.133:8880/rtp/239.69.1.107:10280
CCTV14,http://27.16.160.149:3520/rtp/239.69.1.107:10280
CCTV14,http://27.20.65.193:5555/rtp/239.69.1.107:10280
CCTV14,http://27.17.193.37:9100/rtp/239.69.1.107:10280
CCTV14,http://171.80.43.185:8880/rtp/239.69.1.107:10280
CCTV14,http://27.30.72.52:8888/rtp/239.69.1.107:10280
CCTV14,http://27.24.225.35:8888/rtp/239.69.1.107:10280
CCTV14,http://59.174.98.235:8880/rtp/239.69.1.107:10280
CCTV15,http://111.172.5.4:8888/rtp/239.69.1.155:10566
CCTV15,http://111.178.111.228:9999/rtp/239.69.1.155:10566
CCTV15,http://119.98.99.124:5555/rtp/239.69.1.155:10566
CCTV15,http://111.170.82.136:9999/rtp/239.69.1.155:10566
CCTV15,http://119.101.65.113:8888/rtp/239.69.1.155:10566
CCTV15,http://171.41.195.122:8888/rtp/239.69.1.155:10566
CCTV15,http://171.80.233.21:8888/rtp/239.69.1.155:10566
CCTV15,http://171.80.219.6:8888/rtp/239.69.1.155:10566
CCTV15,http://27.16.160.149:3520/rtp/239.69.1.155:10566
CCTV15,http://27.20.65.193:5555/rtp/239.69.1.155:10566
CCTV15,http://27.17.193.37:9100/rtp/239.69.1.155:10566
CCTV15,http://171.80.43.185:8880/rtp/239.69.1.155:10566
CCTV15,http://27.30.72.52:8888/rtp/239.69.1.155:10566
CCTV15,http://59.174.227.133:8880/rtp/239.69.1.155:10566
CCTV15,http://59.174.98.235:8880/rtp/239.69.1.155:10566
CCTV15,http://27.24.225.35:8888/rtp/239.69.1.155:10566
CCTV16,http://111.170.82.136:9999/rtp/239.69.1.247:11124
CCTV16,http://111.172.5.4:8888/rtp/239.69.1.247:11124
CCTV16,http://119.98.99.124:5555/rtp/239.69.1.247:11124
CCTV16,http://111.178.111.228:9999/rtp/239.69.1.247:11124
CCTV16,http://171.41.195.122:8888/rtp/239.69.1.247:11124
CCTV16,http://171.80.219.6:8888/rtp/239.69.1.247:11124
CCTV16,http://119.101.65.113:8888/rtp/239.69.1.247:11124
CCTV16,http://171.80.233.21:8888/rtp/239.69.1.247:11124
CCTV16,http://171.80.43.185:8880/rtp/239.69.1.247:11124
CCTV16,http://27.16.160.149:3520/rtp/239.69.1.247:11124
CCTV16,http://27.17.193.37:9100/rtp/239.69.1.247:11124
CCTV16,http://27.20.65.193:5555/rtp/239.69.1.247:11124
CCTV16,http://59.174.227.133:8880/rtp/239.69.1.247:11124
CCTV16-4K,http://111.172.5.4:8888/rtp/239.69.1.13:9718
CCTV16-4K,http://111.170.82.136:9999/rtp/239.69.1.13:9718
CCTV16,http://27.30.72.52:8888/rtp/239.69.1.247:11124
CCTV16-4K,http://111.178.111.228:9999/rtp/239.69.1.13:9718
CCTV16,http://59.174.98.235:8880/rtp/239.69.1.247:11124
CCTV16,http://27.24.225.35:8888/rtp/239.69.1.247:11124
CCTV16-4K,http://119.98.99.124:5555/rtp/239.69.1.13:9718
CCTV16-4K,http://171.41.195.122:8888/rtp/239.69.1.13:9718
CCTV16-4K,http://171.80.219.6:8888/rtp/239.69.1.13:9718
CCTV16-4K,http://171.80.233.21:8888/rtp/239.69.1.13:9718
CCTV16-4K,http://119.101.65.113:8888/rtp/239.69.1.13:9718
CCTV16-4K,http://27.16.160.149:3520/rtp/239.69.1.13:9718
CCTV16-4K,http://171.80.43.185:8880/rtp/239.69.1.13:9718
CCTV16-4K,http://27.17.193.37:9100/rtp/239.69.1.13:9718
CCTV16-4K,http://27.20.65.193:5555/rtp/239.69.1.13:9718
CCTV16-4K,http://27.30.72.52:8888/rtp/239.69.1.13:9718
CCTV16-4K,http://27.24.225.35:8888/rtp/239.69.1.13:9718
CCTV16-4K,http://59.174.227.133:8880/rtp/239.69.1.13:9718
CCTV16-4K,http://59.174.98.235:8880/rtp/239.69.1.13:9718
CCTV16奥林匹克-4K,http://111.170.82.136:9999/rtp/239.69.1.249:11136
CCTV16奥林匹克-4K,http://119.98.37.126:8888/rtp/239.69.1.249:11136
CCTV16奥林匹克-4K,http://111.178.111.228:9999/rtp/239.69.1.249:11136
CCTV16奥林匹克-4K,http://111.172.5.4:8888/rtp/239.69.1.249:11136
CCTV16奥林匹克-4K,http://119.98.99.124:5555/rtp/239.69.1.249:11136
CCTV16奥林匹克-4K,http://171.41.195.122:8888/rtp/239.69.1.249:11136
CCTV16奥林匹克-4K,http://171.80.219.6:8888/rtp/239.69.1.249:11136
CCTV16奥林匹克-4K,http://171.80.233.21:8888/rtp/239.69.1.249:11136
CCTV16奥林匹克-4K,http://119.101.65.113:8888/rtp/239.69.1.249:11136
CCTV16奥林匹克-4K,http://27.16.160.149:3520/rtp/239.69.1.249:11136
CCTV16奥林匹克-4K,http://171.80.43.185:8880/rtp/239.69.1.249:11136
CCTV16奥林匹克-4K,http://27.20.65.193:5555/rtp/239.69.1.249:11136
CCTV16奥林匹克-4K,http://27.17.193.37:9100/rtp/239.69.1.249:11136
CCTV16奥林匹克-4K,http://27.30.72.52:8888/rtp/239.69.1.249:11136
CCTV16奥林匹克-4K,http://27.24.225.35:8888/rtp/239.69.1.249:11136
CCTV16奥林匹克-4K,http://59.174.227.133:8880/rtp/239.69.1.249:11136
CCTV16奥林匹克-4K,http://59.174.98.235:8880/rtp/239.69.1.249:11136
CCTV17,http://111.170.82.136:9999/rtp/239.69.1.152:10548
CCTV17,http://111.172.5.4:8888/rtp/239.69.1.152:10548
CCTV17,http://111.178.111.228:9999/rtp/239.69.1.152:10548
CCTV17,http://119.98.99.124:5555/rtp/239.69.1.152:10548
CCTV17,http://171.41.195.122:8888/rtp/239.69.1.152:10548
CCTV17,http://171.80.219.6:8888/rtp/239.69.1.152:10548
CCTV17,http://171.80.233.21:8888/rtp/239.69.1.152:10548
CCTV17,http://27.16.160.149:3520/rtp/239.69.1.152:10548
CCTV17,http://171.80.43.185:8880/rtp/239.69.1.152:10548
CCTV17,http://27.20.65.193:5555/rtp/239.69.1.152:10548
CCTV17,http://27.17.193.37:9100/rtp/239.69.1.152:10548
CCTV17,http://27.30.72.52:8888/rtp/239.69.1.152:10548
CCTV17,http://59.174.227.133:8880/rtp/239.69.1.152:10548
CCTV17,http://27.24.225.35:8888/rtp/239.69.1.152:10548
CCTV17,http://119.101.65.113:8888/rtp/239.69.1.152:10548
CCTV17,http://59.174.98.235:8880/rtp/239.69.1.152:10548
CCTV世界地理,http://111.172.5.4:8888/rtp/239.69.1.91:10186
CCTV世界地理,http://111.170.82.136:9999/rtp/239.69.1.91:10186
CCTV世界地理,http://111.178.111.228:9999/rtp/239.69.1.91:10186
CCTV世界地理,http://119.98.99.124:5555/rtp/239.69.1.91:10186
CCTV世界地理,http://171.41.195.122:8888/rtp/239.69.1.91:10186
CCTV世界地理,http://27.16.160.149:3520/rtp/239.69.1.91:10186
CCTV世界地理,http://171.80.233.21:8888/rtp/239.69.1.91:10186
CCTV世界地理,http://171.80.219.6:8888/rtp/239.69.1.91:10186
CCTV世界地理,http://27.17.193.37:9100/rtp/239.69.1.91:10186
CCTV世界地理,http://171.80.43.185:8880/rtp/239.69.1.91:10186
CCTV世界地理,http://27.20.65.193:5555/rtp/239.69.1.91:10186
CCTV世界地理,http://27.30.72.52:8888/rtp/239.69.1.91:10186
CCTV世界地理,http://27.24.225.35:8888/rtp/239.69.1.91:10186
CCTV世界地理,http://59.174.227.133:8880/rtp/239.69.1.91:10186
CCTV兵器科技,http://111.170.82.136:9999/rtp/239.69.1.79:10114
CCTV世界地理,http://59.174.98.235:8880/rtp/239.69.1.91:10186
CCTV兵器科技,http://111.172.5.4:8888/rtp/239.69.1.79:10114
CCTV兵器科技,http://111.178.111.228:9999/rtp/239.69.1.79:10114
CCTV兵器科技,http://171.41.195.122:8888/rtp/239.69.1.79:10114
CCTV兵器科技,http://119.98.99.124:5555/rtp/239.69.1.79:10114
CCTV兵器科技,http://171.80.219.6:8888/rtp/239.69.1.79:10114
CCTV兵器科技,http://171.80.233.21:8888/rtp/239.69.1.79:10114
CCTV兵器科技,http://171.80.43.185:8880/rtp/239.69.1.79:10114
CCTV兵器科技,http://27.16.160.149:3520/rtp/239.69.1.79:10114
CCTV兵器科技,http://27.17.193.37:9100/rtp/239.69.1.79:10114
CCTV兵器科技,http://27.20.65.193:5555/rtp/239.69.1.79:10114
CCTV兵器科技,http://27.24.225.35:8888/rtp/239.69.1.79:10114
CCTV兵器科技,http://27.30.72.52:8888/rtp/239.69.1.79:10114
CCTV兵器科技,http://59.174.227.133:8880/rtp/239.69.1.79:10114
CCTV兵器科技,http://59.174.98.235:8880/rtp/239.69.1.79:10114
CCTV央视台球,http://111.170.82.136:9999/rtp/239.69.1.98:10224
CCTV央视台球,http://111.172.5.4:8888/rtp/239.69.1.98:10224
CCTV央视台球,http://111.178.111.228:9999/rtp/239.69.1.98:10224
CCTV央视台球,http://119.98.99.124:5555/rtp/239.69.1.98:10224
CCTV央视台球,http://171.41.195.122:8888/rtp/239.69.1.98:10224
CCTV央视台球,http://171.80.219.6:8888/rtp/239.69.1.98:10224
CCTV央视台球,http://27.16.160.149:3520/rtp/239.69.1.98:10224
CCTV央视台球,http://171.80.233.21:8888/rtp/239.69.1.98:10224
CCTV央视台球,http://171.80.43.185:8880/rtp/239.69.1.98:10224
CCTV央视台球,http://27.17.193.37:9100/rtp/239.69.1.98:10224
CCTV央视台球,http://27.20.65.193:5555/rtp/239.69.1.98:10224
CCTV央视台球,http://27.24.225.35:8888/rtp/239.69.1.98:10224
CCTV央视台球,http://27.30.72.52:8888/rtp/239.69.1.98:10224
CCTV央视台球,http://59.174.227.133:8880/rtp/239.69.1.98:10224
CCTV第一剧场,http://111.170.82.136:9999/rtp/239.69.1.74:10084
CCTV央视台球,http://59.174.98.235:8880/rtp/239.69.1.98:10224
CCTV第一剧场,http://111.172.5.4:8888/rtp/239.69.1.74:10084
CCTV第一剧场,http://111.178.111.228:9999/rtp/239.69.1.74:10084
CCTV第一剧场,http://119.98.99.124:5555/rtp/239.69.1.74:10084
CCTV第一剧场,http://171.41.195.122:8888/rtp/239.69.1.74:10084
CCTV第一剧场,http://171.80.219.6:8888/rtp/239.69.1.74:10084
CCTV第一剧场,http://171.80.233.21:8888/rtp/239.69.1.74:10084
CCTV第一剧场,http://171.80.43.185:8880/rtp/239.69.1.74:10084
CCTV第一剧场,http://27.16.160.149:3520/rtp/239.69.1.74:10084
CCTV第一剧场,http://27.17.193.37:9100/rtp/239.69.1.74:10084
CCTV第一剧场,http://27.20.65.193:5555/rtp/239.69.1.74:10084
CCTV第一剧场,http://27.24.225.35:8888/rtp/239.69.1.74:10084
CCTV第一剧场,http://59.174.227.133:8880/rtp/239.69.1.74:10084
CCTV第一剧场,http://27.30.72.52:8888/rtp/239.69.1.74:10084
CCTV第一剧场,http://59.174.98.235:8880/rtp/239.69.1.74:10084
